Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,SwiGlu,AI_VECTOR_CORE,23,1810,4.100,1764309593948997.650	,1764309593949001.750	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1811,591.080,1764309593949001.770	,1764309593949592.850	
4,AddRmsNorm,AI_VECTOR_CORE,23,1812,2.380,1764309593949592.870	,1764309593949595.250	
4,trans_TransData_1,AI_VECTOR_CORE,23,1813,11.480,1764309593949595.270	,1764309593949606.750	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,1814,576.660,1764309593949606.770	,1764309593950183.430	
4,rope_custom_true_half,AI_CORE,23,1815,4.580,1764309593950183.450	,1764309593950188.030	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,1816,2.200,1764309593950188.070	,1764309593950190.270	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1817,18.120,1764309593950190.290	,1764309593950208.410	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1817,16.080,1764309593950191.490	,1764309593950207.570	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1818,597.600,1764309593950208.450	,1764309593950806.050	
4,AddRmsNorm,AI_VECTOR_CORE,23,1819,2.120,1764309593950806.090	,1764309593950808.210	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1820,25.940,1764309593950808.230	,1764309593950834.170	
4,SwiGlu,AI_VECTOR_CORE,23,1821,5.180,1764309593950834.190	,1764309593950839.370	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1822,610.000,1764309593950839.390	,1764309593951449.390	
4,AddRmsNorm,AI_VECTOR_CORE,23,1823,2.000,1764309593951449.410	,1764309593951451.410	
4,trans_TransData_1,AI_VECTOR_CORE,23,1824,11.960,1764309593951451.430	,1764309593951463.390	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,1825,10.120,1764309593951463.410	,1764309593951473.530	
4,rope_custom_true_half,AI_CORE,23,1826,5.000,1764309593951473.550	,1764309593951478.550	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,1827,2.740,1764309593951478.570	,1764309593951481.310	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1828,605.420,1764309593951481.330	,1764309593952086.750	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1828,603.120,1764309593951482.550	,1764309593952085.670	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1829,13.620,1764309593952086.770	,1764309593952100.390	
4,AddRmsNorm,AI_VECTOR_CORE,23,1830,2.080,1764309593952100.410	,1764309593952102.490	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1831,621.460,1764309593952102.530	,1764309593952723.990	
4,SwiGlu,AI_VECTOR_CORE,23,1832,5.100,1764309593952724.010	,1764309593952729.110	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1833,589.140,1764309593952729.130	,1764309593953318.270	
4,AddRmsNorm,AI_VECTOR_CORE,23,1834,1.880,1764309593953318.310	,1764309593953320.190	
4,trans_TransData_1,AI_VECTOR_CORE,23,1835,10.820,1764309593953320.210	,1764309593953331.030	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,1836,581.100,1764309593953331.070	,1764309593953912.170	
4,rope_custom_true_half,AI_CORE,23,1837,4.560,1764309593953912.210	,1764309593953916.770	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,1838,2.740,1764309593953916.790	,1764309593953919.530	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1839,17.000,1764309593953919.550	,1764309593953936.550	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1839,15.000,1764309593953920.810	,1764309593953935.810	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1840,10.040,1764309593953936.570	,1764309593953946.610	
4,AddRmsNorm,AI_VECTOR_CORE,23,1841,2.420,1764309593953946.630	,1764309593953949.050	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1842,607.900,1764309593953949.070	,1764309593954556.970	
